,year,name,percent,gender
80821,1960,Lisa,4e-05,boy
81848,1961,Lisa,3.8e-05,boy
82745,1962,Lisa,5e-05,boy
83708,1963,Lisa,5.9e-05,boy
84674,1964,Lisa,6.5e-05,boy
85576,1965,Lisa,9.3e-05,boy
86604,1966,Lisa,8.3e-05,boy
87684,1967,Lisa,6.7e-05,boy
88577,1968,Lisa,9.6e-05,boy
89646,1969,Lisa,8.1e-05,boy
209005,1960,Lisa,0.016207,girl
210001,1961,Lisa,0.020569,girl
211000,1962,Lisa,0.022741,girl
212000,1963,Lisa,0.028189,girl
213000,1964,Lisa,0.027737,girl
214000,1965,Lisa,0.032982,girl
215000,1966,Lisa,0.032416,girl
216000,1967,Lisa,0.030539,girl
217000,1968,Lisa,0.028974,girl
218000,1969,Lisa,0.025556,girl
